date,commit,mode,track,laps_completed,best_lap,total_time,collisions_major,finish_reason,notes
2026/6/10,c4126ea,fastest,basic,0,,300,0,timeout,"降低估计器 y_span 门槛，弯道风险直接触发 hard_turn，并在远近项冲突时优先回中；右上角卡点已通过，300s 结束在约 x=55,y=-27，仍未完成一圈。"
2026/6/10,local,fastest,basic,1,288.187,288.187,0,physical_finish,"非 debug 单文件控制器实跑；本地 supervisor metadata 仍因 checkpoint 坐标不匹配显示 timeout/laps=0，但 telemetry 显示 t=288.187s 在 x=-19.498,y=122.6 穿过起点区域，300s 结束在 x=-19.741,y=155.472。"
2026/6/10,587999b,fastest,complex,0,,300,0,timeout,"当前 final 单文件在 track_complex.wbt 单车 1 圈测试中未完赛；metadata 显示 timeout/laps=0/status=normal，末帧 t=300.0 位于 x=107.595,y=143.495，重大碰撞 0。"
2026/6/10,local,fastest,complex,0,,300,0,timeout,"收紧过宽道路段过滤并加入卡边脱困后，仍未完赛；iter9 末帧 x=169.014,y=101.689，说明 CP3 后仍会进入东北内部环，重大碰撞 0。"
2026/6/10,local,fastest,complex,0,,300,0,timeout,"加入超宽道路段本地化后，能从 CP3 附近绕到 CP4 附近，但仍未完赛；iter10 末帧 x=97.884,y=155.443，重大碰撞 0。调试帧显示 142s 左右观测点仍被内环道路拖偏。"
2026/6/10,local,fastest,complex,0,,300,0,timeout,"iter12 使用条件右边界窄窗口；结果接近 iter10，300s 末帧 x=96.045,y=155.619，仍只到 CP4 附近。"
2026/6/10,local,fastest,complex,0,,300,0,timeout,"iter13 将右边界窄窗口锚到左边界附近；CP3->CP4 初始方向正确，但贴边后又掉入内环，300s 末帧 x=144.900,y=90.478。"
2026/6/10,local,fastest,complex,0,,300,0,timeout,"iter18 将高曲率卡边脱困触发从 42 帧提前到 18 帧，并把脱困速度提高到 0.62；300s 末帧 x=78.435,y=124.319，已过 CP4 往 CP5 方向，重大碰撞 0。"
2026/6/10,local,fastest,complex,0,,713.344,0,practice_stall,"iter20 practice 过 CP8 后卡在起点前 x=-10.485,y=-27.193，速度约 0.18；据此将低速稳态脱困阈值从 0.06 提高到 0.22。"
2026/6/10,local,fastest,complex,1,981.248,981.248,0,physical_finish_unofficial,iter23 practice 使用固定正向低速脱困；约 t=902.336 接近 CP8，t=981.248 回到起点区域，物理上绕完一圈，但本地 metadata 为 supervisor_stop/final_rankings=[] 且 telemetry lap 仍为 0。按正式 300 秒窗口看仍不可用。
